publication_date,job_listings,forecast
2018-01-31,1701.0,,,
2018-02-28,1699.0,,,
2018-03-31,1875.0,,,
2018-04-30,1920.0,,,
2018-05-31,1948.0,,,
2018-06-30,1392.0,,,
2018-07-31,1337.0,,,
2018-08-31,1977.0,,,
2018-09-30,1618.0,,,
2018-10-31,1626.0,,,
2018-11-30,1516.0,,,
2018-12-31,1095.0,,,
2019-01-31,1636.0,,,
2019-02-28,1730.0,,,
2019-03-31,1736.0,,,
2019-04-30,1789.0,,,
2019-05-31,1678.0,,,
2019-06-30,1179.0,,,
2019-07-31,1195.0,,,
2019-08-31,1665.0,,,
2019-09-30,1517.0,,,
2019-10-31,1439.0,,,
2019-11-30,1286.0,,,
2019-12-31,1069.0,,,
2020-01-31,1517.0,,,
2020-02-29,1614.0,,,
2020-03-31,1006.0,,,
2020-04-30,393.0,,,
2020-05-31,519.0,,,
2020-06-30,710.0,,,
2020-07-31,720.0,,,
2020-08-31,820.0,,,
2020-09-30,915.0,,,
2020-10-31,842.0,,,
2020-11-30,498.0,,,
2020-12-31,377.0,,,
2021-01-31,612.0,,,
2021-02-28,766.0,,,
2021-03-31,1044.0,,,
2021-04-30,1304.0,,,
2021-05-31,1491.0,,,
2021-06-30,1522.0,,,
2021-07-31,1362.0,,,
2021-08-31,1728.0,,,
2021-09-30,1853.0,,,
2021-10-31,2049.0,,,
2021-11-30,1865.0,,,
2021-12-31,1351.0,,,
2022-01-31,1483.0,,,
2022-02-28,2379.0,,,
2022-03-31,3281.0,,,
2022-04-30,2574.0,,,
2022-05-31,2798.0,,,
2022-06-30,2093.0,,,
2022-07-31,1806.0,,,
2022-08-31,2695.0,,,
2022-09-30,2123.0,,,
2022-10-31,1854.0,,,
2022-11-30,1550.0,,,
2022-12-31,1256.0,,,
2023-01-31,1880.0,,,
2023-02-28,1819.0,,,
2023-03-31,2312.0,,,
2023-04-30,2003.0,,,
2023-05-31,2376.0,,,
2023-06-30,1569.0,,,
2023-07-31,1393.0,,,
2023-08-31,1716.0,,,
2023-09-30,1549.0,,,
2023-10-31,1448.0,,,
2023-11-30,1175.0,,,
2023-12-31,855.0,,,
2024-01-01,,855.0,855.0,855.0
2024-01-31,,1307.3991572223476,887.6778758858059,1727.1204385588894
2024-02-29,,1458.3148039713722,910.9819461269359,2105.6476618158085
2024-03-31,,1725.5557865045935,900.7232979685093,2550.3882750406774
2024-04-30,,1497.6211184417448,521.81127386756043,2473.430963015929
2024-05-31,,1678.263873688614,668.77023160838166,2787.757515768846
2024-06-30,,1209.940610429863,420.7998680003161,2440.681088860042
